employee_id,first_name,last_name,age,department_region,status,join_date,salary,email,phone,performance_score,remote_work
emp1000,bob,davis,25.0,devops-california,active,4/2/2021,59767.65,bob.davis@example.com,-1651623197,average,true
emp1001,bob,brown,,finance-texas,active,7/10/2020,65304.66,bob.brown@example.com,-1898471390,excellent,true
emp1002,alice,jones,,admin-nevada,pending,12/7/2023,88145.9,alice.jones@example.com,-5596363211,good,true
emp1003,eva,davis,25.0,admin-nevada,inactive,11/27/2021,69450.99,eva.davis@example.com,-3476490784,good,true
emp1004,frank,williams,25.0,cloud tech-florida,active,1/5/2022,109324.61,frank.williams@example.com,-1586734256,poor,false
emp1005,alice,garcia,40.0,sales-texas,inactive,6/10/2020,88642.84,alice.garcia@example.com,-5409003485,good,false
emp1006,frank,jones,,admin-nevada,active,4/3/2020,96288.43,frank.jones@example.com,-4518376063,good,false
emp1007,bob,jones,30.0,cloud tech-florida,inactive,7/17/2022,94497.91,bob.jones@example.com,-4134327559,average,true
emp1008,frank,davis,35.0,admin-nevada,inactive,12/8/2023,115565.82,frank.davis@example.com,-4177656123,excellent,true
emp1009,charlie,johnson,,devops-new york,active,8/4/2022,76561.88,charlie.johnson@example.com,-8156985699,excellent,true
emp1010,david,williams,35.0,cloud tech-new york,active,7/6/2024,72081.71,david.williams@example.com,-2720634590,average,false
emp1011,david,davis,,devops-california,active,9/4/2023,84946.19,david.davis@example.com,-1238296576,poor,true
emp1012,heidi,williams,30.0,hr-new york,active,3/5/2024,89295.77,heidi.williams@example.com,-2429543164,excellent,false
emp1013,grace,williams,,finance-california,active,10/10/2020,85666.84,grace.williams@example.com,-2669300892,good,false
emp1014,alice,garcia,25.0,admin-nevada,active,6/10/2024,97633.68,alice.garcia@example.com,-1734206968,excellent,true
emp1015,grace,jones,40.0,sales-florida,pending,5/29/2021,117975.49,grace.jones@example.com,-4215291085,good,true
emp1016,alice,brown,25.0,devops-illinois,inactive,4/23/2024,94867.33,alice.brown@example.com,-7713334475,poor,false
emp1017,grace,garcia,30.0,finance-texas,pending,11/28/2024,100377.65,grace.garcia@example.com,-2639343625,average,true
emp1018,charlie,garcia,,cloud tech-nevada,inactive,9/19/2024,94726.46,charlie.garcia@example.com,-2044397358,excellent,false
emp1019,charlie,williams,35.0,admin-illinois,pending,1/2/2020,91926.12,charlie.williams@example.com,-7107256365,average,true
emp1020,bob,miller,35.0,hr-new york,active,5/8/2021,111460.67,bob.miller@example.com,-9411800536,excellent,true
emp1021,bob,jones,40.0,cloud tech-illinois,active,9/19/2020,96182.56,bob.jones@example.com,-5990048963,good,false
emp1022,charlie,johnson,35.0,sales-illinois,inactive,3/9/2021,115023.94,charlie.johnson@example.com,-6528092427,average,true
emp1023,david,garcia,35.0,finance-nevada,pending,2/3/2022,80667.01,david.garcia@example.com,-7572158623,excellent,false
emp1024,bob,brown,30.0,admin-texas,inactive,2/13/2020,91181.61,bob.brown@example.com,-1502745643,good,true
emp1025,david,miller,25.0,cloud tech-nevada,pending,4/30/2020,66025.92,david.miller@example.com,-9485625727,average,false
emp1026,frank,miller,25.0,sales-new york,inactive,10/2/2023,83979.01,frank.miller@example.com,-7032032073,average,false
emp1027,heidi,johnson,30.0,finance-florida,active,7/12/2020,56785.16,heidi.johnson@example.com,-2761707586,excellent,true
emp1028,grace,garcia,40.0,finance-nevada,active,10/11/2023,95741.88,grace.garcia@example.com,-7712151341,excellent,false
emp1029,alice,brown,40.0,devops-california,active,5/24/2021,63411.31,alice.brown@example.com,-2849939088,excellent,true
emp1030,charlie,jones,40.0,admin-california,inactive,5/26/2021,111214.02,charlie.jones@example.com,-2613715040,good,true
emp1031,bob,smith,25.0,devops-illinois,active,7/10/2020,114845.69,bob.smith@example.com,-6591520176,excellent,true
emp1032,charlie,brown,40.0,finance-florida,active,11/5/2024,78072.82,charlie.brown@example.com,-7490509758,average,false
emp1033,grace,johnson,25.0,finance-california,inactive,8/7/2021,79610.52,grace.johnson@example.com,-2304501895,average,false
emp1034,heidi,miller,30.0,admin-california,active,4/29/2020,90542.62,heidi.miller@example.com,-1642361031,excellent,true
emp1035,frank,jones,25.0,cloud tech-illinois,inactive,10/26/2022,114357.1,frank.jones@example.com,-6642147648,excellent,true
emp1036,alice,brown,,cloud tech-new york,active,5/3/2023,54757.26,alice.brown@example.com,-2515837766,poor,false
emp1037,grace,smith,25.0,sales-new york,pending,5/2/2023,52781.92,grace.smith@example.com,-4996165925,average,true
emp1038,frank,smith,35.0,admin-nevada,pending,10/5/2021,66708.02,frank.smith@example.com,-6108573277,good,true
emp1039,eva,williams,40.0,hr-texas,active,7/27/2022,93481.15,eva.williams@example.com,-8147617421,poor,false
emp1040,bob,williams,25.0,sales-new york,pending,6/27/2021,59271.96,bob.williams@example.com,-4386490809,excellent,true
emp1041,bob,davis,30.0,hr-california,active,6/16/2022,108362.15,bob.davis@example.com,-8186617944,excellent,false
emp1042,alice,johnson,,hr-nevada,active,12/3/2024,59400.38,alice.johnson@example.com,-4918017225,average,true
emp1043,bob,garcia,,admin-california,inactive,5/23/2023,64744.08,bob.garcia@example.com,-164597793,excellent,false
emp1044,eva,brown,,finance-california,active,7/8/2020,94399.91,eva.brown@example.com,-5232194167,good,true
emp1045,alice,brown,25.0,hr-new york,pending,6/20/2021,61310.74,alice.brown@example.com,-61027768,average,true
emp1046,grace,garcia,,cloud tech-texas,active,12/13/2024,98371.37,grace.garcia@example.com,-7499564121,excellent,false
emp1047,alice,davis,35.0,sales-illinois,active,5/30/2022,58921.19,alice.davis@example.com,-310303722,average,true
emp1048,alice,miller,35.0,admin-nevada,active,9/27/2023,57195.55,alice.miller@example.com,-6831472759,excellent,false
